Include,Exclusion reason,DOI,,Unique ID,Authors,Year,Country / Region,Funding source,Publication type,Design,Unit of assignment,Follow-up duration,Risk-of-bias tool used,Overall RoB judgment,Setting type,Population description,Baseline value,Sample size,Intervention category,Intervention category (broad),[AA] Intervention category (standardized),[JB] Intervention category (standardized),Intervention description,Core components,Intensity / dose,Implementation fidelity reported?,Implementation Description,Comparator / control condition,Estimation Method,Outcome name,Outcome Reference ,Outcome domain,Outcome definition / metric,[AA] Outcome Category (Standardized),[JB] Outcome Category (Standardized),[AA] Outcome—Intent (Standardized),[JB] Outcome—Intent (Standardized),Time point(s),Unit,Effect size,Standard Error,CI lower,CI upper,P-value,Raw data extracted,Direction of effect,Sub-groups analyzed?,Effect heterogeneity,Co-interventions / policy environment,Implementation barriers / facilitators,Notes ,Notes,JB Notes,AA check,Intervention class v1 - broad,Intervention class v2,Intervention class v3,Exclude
,,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/1174826418/increased_firearm_injury_during_the_covid_19.6.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20250616%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250616T164553Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=847505e41c435036507f714a1e492b4e23bc40f7ee59f51e30ddddb308af82c8,1,Abdallah2021,"Abdallah, H.O. et al.",2021,"United States - Philadelphia, PA",N/A,Journal Article ,Before-after (retrospective review; registry based),Medical center trauma cases (individual level),"16 weeks (Feb 1–May 30, 2020); 6 weeks pre-SAHO, 10 weeks post-SAHO",N/A,N/A,Urban ,Single Level I trauma center in West Philidephia: Penn Presbyterian Medical Center (PPMC). All trauma patients  ≥14 years presenting to PPMC with racial subgroup analysis (primarily black and white patients), Gunshot wounds = 12.6% of traumas (pre-SAHO); 47.06% of traumas nonintentional (pre-SAHO),N=837 (357 pre-SAHO; 480 post-SAHO),Non-traditional intervention; policy/environment change (COVID-19 stay at home order),environment change,,Environmental changes (e.g. covid effects),"Implementation of COVID-19 stay-at-home orders (SAHO) statewide on March 16, 2020. ","Lockdown, social isolation, closure of non-essential services",Yes - statewide SAHO enforcement,No,"SAHO issued by Pennsylvania on March 16, 2020, reducing public movementand ED visits. SAHO implementation tracked by COVID-19 case data and date. ",Pre-SAHO trauma rates (6 weeks before SAHO) and historical control (2015-2019 data). ,Fisher exact test for proportions and Wilcoxon test for continuous variables,Firearm injuries (gunshot wounds) ,Table 1,Firearm Injury,Proportion of trauma patients with gunshot wounds (percentage points),firearm morbidity,firearm morbidity,"unintentional, ""Self-inflicted (suicide, self-harm)"", ""Interpersonal (homicide, assault)"", unknown/other, mass shooting","unintentional, ""Self-inflicted (suicide, self-harm)"", ""Interpersonal (homicide, assault)"", Legal intervention, unknown/other, mass shooting",6 weeks before vs. 10 weeks after SAHO (Feb–May 2020) ,percentage points,10.31,N/A,N/A,N/A,0.0001,"45 gunshot wounds (pre-SAHO) vs 110 (post-SAHO), 12.61% to 22.92% post SAHO",↑ harmful,"Yes – race (Black vs. White), injury type (blunt vs. penetrating), and pre/post periods","Black patients experienced a greater increase in gunshot wounds post-SAHO (Table e3: 18.1% → 28.7%, p = 0.005). Oppositely, white patients did not show a significant change","Surge in COVID-19 cases, pandemic-related lockdown and state of emergency, police overload, and increased firearm purchases","N/A - observational design (but authors note that social isolation, unemployment, and firearm access as contributing factors).",Gunshot wound rate rose despite overall decline in ED volume; Black patients disproportionately affected. Nonintentional injury dropped sharply; aligns with social distancing and reduced mobility post-SAHO. ,,reextracted,,Other / unclear,Other / unclear,Other / unclear,
,,,,,,,,,,,,,,,,,,,,,,Environmental changes (e.g. covid effects),,,,,,,...,All Intentional violent trauma (IVT),...,Violent injury,"Proportion of trauma patients with assault, stabbing, and firearm injury combined (percentage points)",overall morbidity,overall morbidity,"unintentional, ""Self-inflicted (suicide, self-harm)"", ""Interpersonal (homicide, assault)"", unknown/other, mass shooting","unintentional, ""Self-inflicted (suicide, self-harm)"", ""Interpersonal (homicide, assault)"", Legal intervention, unknown/other, mass shooting",...,percentage points,11.22,N/A,N/A,N/A,0.0002,70 IVT injuries (pre-SAHO) vs 148 (post-SAHO). 19.61% to 30.83%,↑ harmful,...,Larger absolute decline among White patients (67.0% to 58.9%) and Black patients (36.7% to 26.5%),,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/1174854912/critical_call_for_hospital_based_domestic_violence.26.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20250616%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250616T170445Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=a9a308dc99c3ee5c6754a1f374ef43321d5e6e3e627c4e8ef4abbb90eba60e6c,2,Aboutanos2019,"Aboutanos, M. B. et al. ",2019,"USA – Richmond, VA","VOCA grant, Richmond Memorial Health Foundation; VCU Auxiliary Funds; MCV Foundation ",Journal Article ,"Observational (descriptive, before–after program evaluation with mixed methods)",Individual ,5 years (2014-2018),N/A,N/A,Urban,"Level 1 trauma center at VCU; includes ED, Trauma Program, Women’s Health clinics, inpatient wards, and affiliated community clinics. N=792 employees across 16 departments. IPV survivors screened or referred for hospital-based services; mostly women (90%): 60% Black, average age=34, low-income.",Hospital forensic nurse examiners (FNE) case logs between 2006 - 2009 were evaluated to determine the baseline IPV prevalence (15-20% IPV prevalence). ,"799 IPV patients seen out of 926 referred; 18,648 trauma patients overall during study period","Hospital-based, trauma-informed IPV intervention",hospital-based,,"Hospital-Based, Counseling/Behavioral","“Project Empower”: screening + dedicated advocate services including counseling, safety planning, legal navigation, referrals","HITS screening tool, staff training, crisis fund, interdisciplinary IPV team, community partnership","Yes - integrated team; 737 providers trained (2010–2014), >2000 by 2018 with an average of 4 hours per patient. ",Yes ,"Stepwise roll-out from ED/Trauma (2009–2012) to systemwide (2013–2018), with stakeholder engagement phases and EMR integration. An initial low referral improved with use of HITS tool and hospital-wide awareness",Pre-program period (2006–2009 for logs; 2010 for survey; 2014 for referrals). Historical baselines,N/A,N/A,N/A,N/A,N/A,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes – by age, gender, race, pregnancy, sexual orientation, mechanism of injury","9% of IPV women victims were pregnant; 44% firearm-related, 34% stabbing; majority of injuries from cohabiting partners","State training (RADAR), VOCA grants, hospital-wide awareness campaign, integration with local IPV network","Early under-referral; limited night/weekend coverage; improved with staff training, HITS tool, stakeholder engagement",,,not sure what to extract form this since it's a feasibility/acceptability study,check,Clinical counseling / screening,Clinical counseling / screening / decision support,Service: clinical counseling/screening (behavior change),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/1174852667/s11121-023-01500-w.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20250616%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250616T170445Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=3d668990fe531ab326fe532273aac0e9996807dac9227e5cdeb8e2d67c450dcc,3,Adams2023,"Adams, E.B. and Maguire, E.R.",2023,"Trinidad and Tobago - Port of
Spain",Inter-American Development Bank,Journal Article ,Qualitative implementation study (paired with prior quasi-experimental evaluation),Communities (Neighborhoods),July 2015 - August 2017,N/A,N/A,Urban ,"16 high-crime neighborhoods in and around Port of Spain (represents 5.9% of the population but 27.5%  of the murders and 30.1% of the shootings and woundings
in Trinidad and Tobago from 2010 to 2015). Study population composed of residents of impoverished, high-violence communities alongisde youth aged 15-29 (either gang-involved or at risk). ",N/A,"N=36 in depth semi-structured interviews + 2 focus groups with a variety of stakeholders, including program staff, residents, family members of victims, and police (qualitative only)",Community based violence interruption (Cure Violence adaptation: Project REASON).,community-based,,Community-based/Place-based,"Cure Violence is an initiative that treats violence as a public health issue. Based on methods used to prevent the spread of infectious disease, Cure Violence seeks to stop the spread of violence within communities. This study presents qualitative results on the implementation of Cure Violence in Trinidad and Tobago, a two-island nation in the southeastern Caribbean near Venezuela. Outreach workers and violence interrupters conducted conflict mediation, referrals, education/job support, and engaged with gangs to prevent retaliations. ","Outreach, violence interruption, education/employment referrals, conflict mediation",Yes - 7 violence interrupters and 5 outreach workers serving 16 neighborhoods. ,Yes,"Fidelity challenges included low caseloads and low proportion of high-risk participants (only 40.6%). However, strong community embeddedness and support/technical assistance from Cure Violence's Chicago HQ were study strengths. ",Pre/post Cure Violence,N/A,N/A,N/A,N/A,N/A,,,,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Close partnership with 'Hearts and Minds' community policing unit,"Barriers: staffing shortages, stipend cuts, greater need to use personal funds. Facilitators: strong local ties, community trust, police partnership, support from Cure Violence HQ","Prior quasi-experimental analysis completed, just was not in this paper (this article provides only qualitative evidence). ",,"we should probably still extract qual outcomes, but I'm not sure how",check,Clinical counseling / screening,Clinical counseling / screening / decision support,Service: clinical counseling/screening (behavior change),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://regroup-production.s3.amazonaws.com/documents/ReviewReference/1174825821/1-s2.0-S0091743522000688-main.pdf?response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAYSFKCAWYQ4D5IUHG%2F20250616%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20250616T175004Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=39adc54490732fb10a7a6369eec190fe16ff885d17d914f0a41c563281141c5a,4,Afif2022,"Afif, I.N. et al.",2022,"United States – Philadelphia, PA",Stoneleigh Foundation (Dr. Beard),Journal Article ,Before-after (descriptive epidemiological study),Person/shooting incident,"January 1, 2015 - March 31, 2021",N/A,N/A,Urban ,"Study population = entire city of Philadelphia; data derived from the PPD shooting victim registry. All were victims of interpersonal firearm violence; 82.4% Black, 91.8% men; mean age 28.6; includes both children and women",331 people shot per quarter (pre-containment),68966 shot in the pre-containment period; 2456 shot post-containment,Policy/environmental change – COVID-19 containment,environment change,Environmental changes (e.g. covid effects),Environmental changes (e.g. covid effects),"Closure of non-essential businesses and city lockdown starting March 16, 2020","Stay-at-home order, business closures, pandemic-related restrictions",Yes – full city implementation,No,Containment assumed to apply citywide as of March 16; not measured directly,"Pre-pandemic period (Jan 2015–Mar 15, 2020",Descriptive statistics,All Firearm shootings,Table 2 (Figure 1A),Firearm Injury,Mean number shot per quarter,shootings,shootings,"unintentional, ""Self-inflicted (suicide, self-harm)"", ""Interpersonal (homicide, assault)"", unknown/other, mass shooting","unintentional, ""Self-inflicted (suicide, self-harm)"", ""Interpersonal (homicide, assault)"", Legal intervention, unknown/other, mass shooting",Quarterly pre- vs post-containment,shootings count,214,"SE = 13.9 (pre), 66.4 (post)",N/A,N/A,0.031,331 → 545 per quarter,↑ harmful,"Yes - women, children, men, mass shootings ",Women: 27 → 59; SE= pre (2.1) and post (11.9); Children: 26 → 49; SE= pre (1.8) and post (6.8); Men: 304 → 485; SE= pre (12.1) and post (56.6); Mass shootings: 3 → 6; SE= pre (0.4) and post (2.0),COVID-19 social and economic disruptions; opioid crisis intensified in certain areas,"Structural racism, school closures, reduced social services, economic deprivation likely worsened risk",,,not super meaningful without a denominator,,Other / unclear,Child access prevention / safe storage mandates,Program: promote safe storage (devices/practices),
,,,,,,,,,,,,,,,,,,,,,descriptive/no intervention,descriptive/no intervention,,,,,,,rate ratio,Women Shot ,Table 1 ,Firearm Injury,Proportion of all victims shot who are women,shootings,shootings,"unintentional, ""Self-inflicted (suicide, self-harm)"", unknown/other, mass shooting, ""Interpersonal (homicide, assault)""","unintentional, ""Self-inflicted (suicide, self-harm)"", ""Interpersonal (homicide, assault)"", Legal intervention, unknown/other, mass shooting",Quarterly pre- vs post-containment,rate (rate ratio),1.39,,1.21,1.59,p<0.001,564 (pre) vs. 279 (post),,"Yes – sex, age (children), race/ethnicity, mass vs non-mass events",Greater increases in shootings of Black women (RR = 1.11) and children (RR = 1.08); more outdoor shootings and more afternoon/evening shootings,,,,,removed harmful/beneficial designations,,,,,
,,,,,,,,,,,,,,,,,,,,,descriptive/no intervention,descriptive/no intervention,,,,,,,rate ratio,Children Shot ,Table 2,Firearm Injury,Proportion of all victims shot who are children,shootings,shootings,"unintentional, ""Self-inflicted (suicide, self-harm)"", unknown/other, mass shooting, ""Interpersonal (homicide, assault)""","unintentional, ""Self-inflicted (suicide, self-harm)"", ""Interpersonal (homicide, assault)"", Legal intervention, unknown/other, mass shooting",Quarterly pre- vs post-containment,rate (rate ratio),1.17,,1,1.35,0.046,535 (pre) vs. 222 (post),,...,...,,,,,,,,,,
